time,drone_id,target_x,target_y,target_z,actual_x,actual_y,actual_z
0.01,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.01,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.01,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.01,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.02,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.02,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.02,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.02,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.03,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.03,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.03,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.03,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.04,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.04,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.04,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.04,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.05,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.05,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.05,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.05,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.06,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.06,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.06,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.06,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.07,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.07,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.07,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.07,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.08,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.08,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.08,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.08,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.09,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.09,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.09,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.09,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.1,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.1,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.1,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.1,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.11,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.11,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.11,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.11,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.12,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.12,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.12,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.12,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.13,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.13,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.13,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.13,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.14,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.14,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.14,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.14,drone3,0.35,0.35,0.1,0.35,0.35,0.1
0.15,drone0,-0.35,-0.35,0.1,-0.35,-0.35,0.1
0.15,drone1,0.35,-0.35,0.1,0.35,-0.35,0.1
0.15,drone2,-0.35,0.35,0.1,-0.35,0.35,0.1
0.15,drone3,0.35,0.35,0.1,0.35,0.35,0.1
