time,drone_id,x,y,z
0.000,0,-1.200000,0.000000,0.800000
0.000,1,-0.400000,0.000000,0.800000
0.000,2,0.400000,0.000000,0.800000
0.000,3,1.200000,0.000000,0.800000
0.100,0,-1.194000,0.000000,0.800000
0.100,1,-0.394000,0.000000,0.800000
0.100,2,0.406000,0.000000,0.800000
0.100,3,1.206000,0.000000,0.800000
0.200,0,-1.188000,0.000000,0.800000
0.200,1,-0.388000,0.000000,0.800000
0.200,2,0.412000,0.000000,0.800000
0.200,3,1.212000,0.000000,0.800000
0.300,0,-1.182000,0.000000,0.800000
0.300,1,-0.382000,0.000000,0.800000
0.300,2,0.418000,0.000000,0.800000
0.300,3,1.218000,0.000000,0.800000
0.400,0,-1.176000,0.000000,0.800000
0.400,1,-0.376000,0.000000,0.800000
0.400,2,0.424000,0.000000,0.800000
0.400,3,1.224000,0.000000,0.800000
0.500,0,-1.170000,0.000000,0.800000
0.500,1,-0.370000,0.000000,0.800000
0.500,2,0.430000,0.000000,0.800000
0.500,3,1.230000,0.000000,0.800000
0.600,0,-1.164000,0.000000,0.800000
0.600,1,-0.364000,0.000000,0.800000
0.600,2,0.436000,0.000000,0.800000
0.600,3,1.236000,0.000000,0.800000
0.700,0,-1.158000,0.000000,0.800000
0.700,1,-0.358000,0.000000,0.800000
0.700,2,0.442000,0.000000,0.800000
0.700,3,1.242000,0.000000,0.800000
0.800,0,-1.152000,0.000000,0.800000
0.800,1,-0.352000,0.000000,0.800000
0.800,2,0.448000,0.000000,0.800000
0.800,3,1.248000,0.000000,0.800000
0.900,0,-1.146000,0.000000,0.800000
0.900,1,-0.346000,0.000000,0.800000
0.900,2,0.454000,0.000000,0.800000
0.900,3,1.254000,0.000000,0.800000
1.000,0,-1.140000,0.000000,0.800000
1.000,1,-0.340000,0.000000,0.800000
1.000,2,0.460000,0.000000,0.800000
1.000,3,1.260000,0.000000,0.800000
1.100,0,-1.134000,0.000000,0.800000
1.100,1,-0.334000,0.000000,0.800000
1.100,2,0.466000,0.000000,0.800000
1.100,3,1.266000,0.000000,0.800000
1.200,0,-1.128000,0.000000,0.800000
1.200,1,-0.328000,0.000000,0.800000
1.200,2,0.472000,0.000000,0.800000
1.200,3,1.272000,0.000000,0.800000
1.300,0,-1.122000,0.000000,0.800000
1.300,1,-0.322000,0.000000,0.800000
1.300,2,0.478000,0.000000,0.800000
1.300,3,1.278000,0.000000,0.800000
1.400,0,-1.116000,0.000000,0.800000
1.400,1,-0.316000,0.000000,0.800000
1.400,2,0.484000,0.000000,0.800000
1.400,3,1.284000,0.000000,0.800000
1.500,0,-1.110000,0.000000,0.800000
1.500,1,-0.310000,0.000000,0.800000
1.500,2,0.490000,0.000000,0.800000
1.500,3,1.290000,0.000000,0.800000
1.600,0,-1.104000,0.000000,0.800000
1.600,1,-0.304000,0.000000,0.800000
1.600,2,0.496000,0.000000,0.800000
1.600,3,1.296000,0.000000,0.800000
1.700,0,-1.098000,0.000000,0.800000
1.700,1,-0.298000,0.000000,0.800000
1.700,2,0.502000,0.000000,0.800000
1.700,3,1.302000,0.000000,0.800000
1.800,0,-1.092000,0.000000,0.800000
1.800,1,-0.292000,0.000000,0.800000
1.800,2,0.508000,0.000000,0.800000
1.800,3,1.308000,0.000000,0.800000
1.900,0,-1.086000,0.000000,0.800000
1.900,1,-0.286000,0.000000,0.800000
1.900,2,0.514000,0.000000,0.800000
1.900,3,1.314000,0.000000,0.800000
2.000,0,-1.080000,0.000000,0.800000
2.000,1,-0.280000,0.000000,0.800000
2.000,2,0.520000,0.000000,0.800000
2.000,3,1.320000,0.000000,0.800000
2.100,0,-1.074000,0.000000,0.800000
2.100,1,-0.274000,0.000000,0.800000
2.100,2,0.526000,0.000000,0.800000
2.100,3,1.326000,0.000000,0.800000
2.200,0,-1.068000,0.000000,0.800000
2.200,1,-0.268000,0.000000,0.800000
2.200,2,0.532000,0.000000,0.800000
2.200,3,1.332000,0.000000,0.800000
2.300,0,-1.062000,0.000000,0.800000
2.300,1,-0.262000,0.000000,0.800000
2.300,2,0.538000,0.000000,0.800000
2.300,3,1.338000,0.000000,0.800000
2.400,0,-1.056000,0.000000,0.800000
2.400,1,-0.256000,0.000000,0.800000
2.400,2,0.544000,0.000000,0.800000
2.400,3,1.344000,0.000000,0.800000
2.500,0,-1.050000,0.000000,0.800000
2.500,1,-0.250000,0.000000,0.800000
2.500,2,0.550000,0.000000,0.800000
2.500,3,1.350000,0.000000,0.800000
2.600,0,-1.044000,0.000000,0.800000
2.600,1,-0.244000,0.000000,0.800000
2.600,2,0.556000,0.000000,0.800000
2.600,3,1.356000,0.000000,0.800000
2.700,0,-1.038000,0.000000,0.800000
2.700,1,-0.238000,0.000000,0.800000
2.700,2,0.562000,0.000000,0.800000
2.700,3,1.362000,0.000000,0.800000
2.800,0,-1.032000,0.000000,0.800000
2.800,1,-0.232000,0.000000,0.800000
2.800,2,0.568000,0.000000,0.800000
2.800,3,1.368000,0.000000,0.800000
2.900,0,-1.026000,0.000000,0.800000
2.900,1,-0.226000,0.000000,0.800000
2.900,2,0.574000,0.000000,0.800000
2.900,3,1.374000,0.000000,0.800000
3.000,0,-1.020000,0.000000,0.800000
3.000,1,-0.220000,0.000000,0.800000
3.000,2,0.580000,0.000000,0.800000
3.000,3,1.380000,0.000000,0.800000
3.100,0,-1.014000,0.000000,0.800000
3.100,1,-0.214000,0.000000,0.800000
3.100,2,0.586000,0.000000,0.800000
3.100,3,1.386000,0.000000,0.800000
3.200,0,-1.008000,0.000000,0.800000
3.200,1,-0.208000,0.000000,0.800000
3.200,2,0.592000,0.000000,0.800000
3.200,3,1.392000,0.000000,0.800000
3.300,0,-1.002000,0.000000,0.800000
3.300,1,-0.202000,0.000000,0.800000
3.300,2,0.598000,0.000000,0.800000
3.300,3,1.398000,0.000000,0.800000
